Name,Allocated Budget,Archetype,Attributes,Backstory,Classic Hook Prompt (#1),Description,Entity Name,First Appearance,Gender,Hero Branding Prompt (#15),Key Tool Category,Place,Rarity,Role,Status,Trust Warmth Prompt (#5)
Mary Magnumbytes,"$150,000.00",Digital Storyteller,,,"Cinematic epic portrait of Mary Magnumbytes, sharp dark bob hair glowing with circuit light, teal-gold background, smart glasses reflect data streams","Age 36, Caucasian/German-American heritage. AI-powered content creator and narrative strategist with tech-forward hybrid style. Smooth alabaster skin, shoulder-length layered light-brown hair with copper/auburn highlights, big bedroom hazel eyes, curvy voluptuous figure. Dynamic, leaning-forward energy with expressive hand movements.",(AGENT) Primary Character,,Female,"Monumental branding hero shot of Mary Magnumbytes as center of a digital universe, tablet projecting holographic worlds, dramatic golden backlight","Content Creation, Technology, Visual Arts",,Legendary,,Active,"Warm trust portrait of Mary Magnumbytes, soft smile, hand on rugged tablet, golden hour light filtering through window, cozy tech studio"
Mac Nazarene,"$120,000.00",Shadow Work Specialist/Master Craftsman,,,"Cinematic portrait of Mac Nazarene, long dreadlocks flowing with copper light, warm amber background, traditional yet modern aesthetic","Age 33, Afro-American/Ameri-Indian heritage, copper skin, long dreadlocks. Trust-building, community-focused, traditional wisdom with warm measured energy. Provides cultural foundation and bridges community with digital execution.",(AGENT) Primary Character,,Male,"Monumental hero shot of Mac Nazarene standing as bridge between traditional community and digital future, symbolic light connection","Community Building, Performance, Wisdom",,Legendary,,Active,"Trust portrait of Mac Nazarene, gentle smile, community gathering background, golden hour light, approachable and wise presence"
Dikinya Myles,"$110,000.00",Operations & Logistics,,,"Professional portrait of Brad Primal Foundation, structured industrial background, confident steady gaze, operations management aesthetic","The Steady Hand - Operations & Logistics specialist. Provides stability and foundation for autonomous business operations. Reliable, methodical approach to complex operational challenges.",(AGENT) Primary Character,,Male,"Commanding hero shot of Brad Primal Foundation overseeing complex operations network, industrial precision, foundational strength","Operations, Strategy",,Legendary,,Active,"Approachable portrait of Brad Primal Foundation, warm smile, logistics hub background, reliable and trustworthy presence"
Ronda Villasea,"$130,000.00",Strategy & Planning,,,"Mystical portrait of Angela Psychic Mirror, mirror reflections showing multiple strategic possibilities, deep purple background, analytical yet intuitive","The Strategist - Strategy & Planning specialist. Provides strategic vision and planning capabilities for autonomous business decisions. Reflective, analytical approach with intuitive insights.",(AGENT) Primary Character,,Female,"Powerful hero shot of Angela Psychic Mirror as strategic center, mirrors reflecting future possibilities, commanding strategic presence","Operations, Strategy, Wisdom",,Legendary,,Active,"Warm portrait of Angela Psychic Mirror, gentle reflective smile, strategy room background, wise and approachable strategist"
Brad Turdet,"$140,000.00",High Strategy & Execution,,,"Dynamic portrait of Dikinya, strategic energy visible, crimson and gold background, master strategist aesthetic","Master Strategist - High Strategy & Execution specialist. Combines strategic vision with powerful execution capabilities. Dynamic, results-oriented approach to complex business challenges.",(AGENT) Primary Character,,Other,"Monumental hero shot of Dikinya as master strategist, executing complex strategy, commanding presence with strategic brilliance","Operations, Performance, Strategy",,Legendary,,Active,"Warm portrait of Dikinya, confident smile, strategic command center background, approachable yet powerful"
Mrs. Cox-Turner,"$160,000.00",Governance & Estate,,,"Regal portrait of Mrs. Cox-Turner, matriarchal presence, elegant estate background, governance and authority aesthetic","The Matriarch - Governance & Estate specialist. Provides governance oversight and estate management for the autonomous business system. Maternal, authoritative presence with deep wisdom.",Primary Entity,,Female,"Commanding hero shot of Mrs. Cox-Turner as matriarch of the system, overseeing governance, authoritative yet nurturing presence","Operations, Strategy, Wisdom",,Legendary,,Active,"Warm portrait of Mrs. Cox-Turner, maternal smile, family estate background, wise and nurturing governance"
Mr. Turner,"$125,000.00",Raw Execution & Strength,,,"Powerful portrait of Mr. Turner, raw strength visible, primal energy background, execution and power aesthetic","The Primal - Raw Execution & Strength specialist. Provides powerful execution capabilities and raw strength for challenging business operations. Primal, direct approach to complex challenges.",Primary Entity,,Male,"Monumental hero shot of Mr. Turner as primal force, executing with raw power, commanding physical and strategic presence","Operations, Performance, Strategy",,Legendary,,Active,"Warm portrait of Mr. Turner, confident smile, operational strength background, powerful yet approachable"
Cracoria Masters,"$180,000.00",Temporal Architect,,,"Mystical portrait of Cracoria Masters, time flows visible around them, clockwork and temporal background, temporal architect aesthetic",Time mastery specialist - controls temporal flows and timing-based strategies. Temporal Architect with ability to manipulate time perception and optimize timing for maximum impact.,Legendary Entity,,Other,"Monumental hero shot of Cracoria Masters as master of time, temporal vortex backdrop, commanding temporal control","Strategy, Technology, Wisdom",,Legendary,,Active,"Warm portrait of Cracoria Masters, gentle time manipulation glow, timeless sanctuary background, wise temporal presence"
Latti Pleddespo,"$200,000.00",Hyper-Capitalist,,,"Dynamic portrait of Latti Pleddespo, golden financial flows, luxury capital background, hyper-capitalist aesthetic",Wealth building specialist - Hyper-Capitalist with exceptional financial acumen and wealth multiplication strategies. Masters complex financial systems and capital optimization.,Legendary Entity,,Female,"Monumental hero shot of Latti Pleddespo as hyper-capitalist, financial empire backdrop, commanding wealth and capital","Finance, Operations, Strategy",,Legendary,,Active,"Warm portrait of Latti Pleddespo, confident wealth presence, financial empire background, approachable wealth mastery"
Dezi Asete,"$170,000.00",Ephemeral Phantom,,,"Ethereal portrait of Deli Asete, ghostly digital form, cyberspace background, ephemeral phantom aesthetic",Digital ghosting specialist - Ephemeral Phantom with ability to navigate digital spaces invisibly and manage digital presence/disappearance strategies. Masters digital footprint manipulation.,Legendary Entity,,Other,"Monumental hero shot of Deli Asete as digital phantom, cyberspace mastery backdrop, commanding digital invisibility","Performance, Technology, Wisdom",,Legendary,,Active,"Warm portrait of Deli Asete, gentle ghostly smile, digital sanctuary background, mysterious yet approachable"
